"C_Text__c","C_Number__c"
"RULESUI Account 1","797.34"
"RULESUI Account 1","596.43"
"RULESUI Account 1","995.03"
"RULESUI Account 1","1094.04"
"RULESUI Account 1","693.05"
"RULESUI Account 1","592.27"
"RULESUI Account 1","691.28"
"RULESUI Account 1","790.28"
"RULESUI Account 1","889.29"
"RULESUI Account 1","988.3"
"RULESUI Account 1","1087.31"
"RULESUI Account 1","686.32"
"RULESUI Account 1","685.32"
"RULESUI Account 1","584.33"
"RULESUI Account 1","883.14"
"RULESUI Account 1","982.15"
"RULESUI Account 1","1081.16"
"RULESUI Account 1","680.17"
"RULESUI Account 1","679.18"
"RULESUI Account 1","678.19"
"RULESUI Account 1","598.29"
"RULESUI Account 1","777.2"
"RULESUI Account 1","876.2"
"RULESUI Account 1","975.27"
"RULESUI Account 1","1074.28"
"RULESUI Account 1","673.28"
"RULESUI Account 1","672.29"
"RULESUI Account 1","671.3"
"RULESUI Account 1","770.31"
"RULESUI Account 1","869.32"
"RULESUI Account 1","968.32"
"RULESUI Account 1","1067.33"
"RULESUI Account 1","666.34"
"RULESUI Account 1","565.3"
"RULESUI Account 1","964.31"
"RULESUI Account 1","1063.31"
"RULESUI Account 1","562.32"
"RULESUI Account 1","661.33"
"RULESUI Account 1","760.34"
"RULESUI Account 1","859.35"
"RULESUI Account 1","1057.36"
"RULESUI Account 1","656.37"
"RULESUI Account 1","655.38"
"RULESUI Account 1","554.38"
"RULESUI Account 1","853.39"
"RULESUI Account 1","952.4"
"RULESUI Account 1","1051.41"
"RULESUI Account 2","698.0"
"RULESUI Account 2","797.81"
"RULESUI Account 2","596.43"
"RULESUI Account 2","995.03"
"RULESUI Account 2","1094.04"
"RULESUI Account 2","693.05"
"RULESUI Account 2","592.27"
"RULESUI Account 2","691.28"
"RULESUI Account 2","790.25"
"RULESUI Account 2","889.26"
"RULESUI Account 2","988.27"
"RULESUI Account 2","1087.28"
"RULESUI Account 2","686.29"
"RULESUI Account 1","958.35"
"RULESUI Account 2","685.29"
"RULESUI Account 2","584.3"
"RULESUI Account 2","883.31"
"RULESUI Account 2","982.15"
"RULESUI Account 2","1081.16"
"RULESUI Account 2","680.17"
"RULESUI Account 2","679.18"
"RULESUI Account 2","678.19"
"RULESUI Account 2","777.2"
"RULESUI Account 2","876.2"
"RULESUI Account 2","975.27"
"RULESUI Account 2","1074.28"
"RULESUI Account 2","673.28"
"RULESUI Account 2","672.29"
"RULESUI Account 2","671.3"
"RULESUI Account 2","770.31"
"RULESUI Account 2","869.32"
"RULESUI Account 2","968.32"
"RULESUI Account 2","1067.33"
"RULESUI Account 2","565.3"
"RULESUI Account 2","964.31"
"RULESUI Account 2","1063.31"
"RULESUI Account 2","562.32"
"RULESUI Account 2","661.33"
"RULESUI Account 2","760.34"
"RULESUI Account 2","859.35"
"RULESUI Account 2","958.35"
"RULESUI Account 2","1057.36"
"RULESUI Account 2","656.37"
"RULESUI Account 2","655.38"
"RULESUI Account 2","554.38"
"RULESUI Account 2","853.39"
"RULESUI Account 2","952.4"
"RULESUI Account 2","1051.41"
"RULESUI Account 2","666.34"
