"ActiveUsers__c","AccPercentage__c"
"20.0","20.0"
"20.0","20.0"
"20.0","20.0"
"20.0","20.0"
"20.0","20.0"
"20.0","20.0"
"20.0","20.0"
"20.0","20.0"
"20.0","20.0"
"20.0","20.0"
"20.0","20.0"
"20.0","20.0"
"20.0","20.0"
"20.0","20.0"
"20.0","20.0"
"20.0","20.0"
"20.0","20.0"
"20.0","20.0"
"20.0","20.0"
"20.0","20.0"
"20.0","20.0"
"20.0","20.0"
"20.0","20.0"
"20.0","20.0"
"20.0","20.0"
"20.0","20.0"
"20.0","20.0"
"20.0","20.0"
"20.0","20.0"
"20.0","20.0"
"20.0","20.0"
"20.0","20.0"
"20.0","20.0"
"20.0","20.0"
"20.0","20.0"
"20.0","20.0"
"20.0","20.0"
"20.0","20.0"
"20.0","20.0"
"20.0","20.0"
"20.0","20.0"
"20.0","20.0"
"20.0","20.0"
"20.0","20.0"
"20.0","20.0"
"20.0","20.0"
"20.0","20.0"
"20.0","20.0"
"20.0","20.0"
"20.0","20.0"
"20.0","20.0"
"20.0","20.0"
"20.0","20.0"
"20.0","20.0"
"20.0","20.0"
"20.0","20.0"
"20.0","20.0"
"20.0","20.0"
"20.0","20.0"
"20.0","20.0"
"20.0","20.0"
"20.0","20.0"
"20.0","20.0"
"20.0","20.0"
"20.0","20.0"
"20.0","20.0"
"20.0","20.0"
"20.0","20.0"
"20.0","20.0"
"20.0","20.0"
"20.0","20.0"
"20.0","20.0"
"20.0","20.0"
"20.0","20.0"
"20.0","20.0"
"20.0","20.0"
"20.0","20.0"
"20.0","20.0"
"20.0","20.0"
"20.0","20.0"
"20.0","20.0"
"20.0","20.0"
"20.0","20.0"
"20.0","20.0"
"20.0","20.0"
"20.0","20.0"
"20.0","20.0"
"20.0","20.0"
"20.0","20.0"
"20.0","20.0"
"20.0","20.0"
"20.0","20.0"
"20.0","20.0"
"20.0","20.0"
"20.0","20.0"
"20.0","20.0"
"20.0","20.0"
"20.0","20.0"
"20.0","20.0"
"20.0","20.0"
"20.0","20.0"
"20.0","20.0"
"20.0","20.0"
"20.0","20.0"
"20.0","20.0"
"20.0","20.0"
"20.0","20.0"
"20.0","20.0"
"20.0","20.0"
"20.0","20.0"
"20.0","20.0"
"20.0","20.0"
"20.0","20.0"
"20.0","20.0"
"20.0","20.0"
"20.0","20.0"
"20.0","20.0"
"20.0","20.0"
"20.0","20.0"
"20.0","20.0"
"20.0","20.0"
"20.0","20.0"
"20.0","20.0"
"20.0","20.0"
"20.0","20.0"
"20.0","20.0"
"20.0","20.0"
"20.0","20.0"
"20.0","20.0"
"20.0","20.0"
"20.0","20.0"
"20.0","20.0"
"20.0","20.0"
"20.0","20.0"
"20.0","20.0"
"20.0","20.0"
"20.0","20.0"
"20.0","20.0"
"20.0","20.0"
"20.0","20.0"
"20.0","20.0"
"20.0","20.0"
"20.0","20.0"
"20.0","20.0"
"20.0","20.0"
"20.0","20.0"
"20.0","20.0"
"20.0","20.0"
"20.0","20.0"
