"C_Percent__c","C_Number__c"
"244.5","32.6"
"244.5","32.6"
"0.0","34.13333333333334"
"0.0","34.13333333333334"
"0.0","71.2"
"0.0","71.2"
"0.0","71.2"
"0.0","71.2"
"0.0","71.2"
"96.0","39.866666666666674"
"96.0","39.866666666666674"
"96.0","39.866666666666674"
"96.0","39.866666666666674"
"96.0","39.866666666666674"
"96.0","39.866666666666674"
"96.0","39.866666666666674"
"96.0","39.866666666666674"
"0.0","47.733333333333334"
"0.0","47.733333333333334"
"0.0","47.733333333333334"
"0.0","47.733333333333334"
"0.0","47.733333333333334"
"0.0","47.733333333333334"
"0.0","47.733333333333334"
"0.0","71.2"
"0.0","71.2"
"0.0","71.2"
"0.0","71.2"
"0.0","71.2"
"0.0","71.2"
"0.0","71.2"
"0.0","71.2"
"0.0","52.0"
"0.0","52.0"
"0.0","52.0"
"0.0","52.0"
"0.0","52.0"
"0.0","52.0"
"0.0","52.0"
"0.0","52.0"
"0.0","52.0"
"0.0","52.0"
"0.0","52.0"
"0.0","52.0"
"0.0","52.0"
"350.0","56.66666666666666"
"350.0","56.66666666666666"
"350.0","56.66666666666666"
"350.0","56.66666666666666"
"350.0","56.66666666666666"
"350.0","56.66666666666666"
"350.0","56.66666666666666"
"350.0","56.66666666666666"
"350.0","56.66666666666666"
"350.0","56.66666666666666"
"350.0","56.66666666666666"
"350.0","56.66666666666666"
"350.0","56.66666666666666"
"96.0","39.866666666666674"
"96.0","39.866666666666674"
"96.0","39.866666666666674"
"96.0","39.866666666666674"
"96.0","39.866666666666674"
"0.0","47.733333333333334"
"0.0","47.733333333333334"
"0.0","47.733333333333334"
"0.0","47.733333333333334"
"0.0","47.733333333333334"
"0.0","47.733333333333334"
"0.0","52.53333333333333"
"0.0","52.53333333333333"
"0.0","52.53333333333333"
"0.0","52.53333333333333"
"0.0","52.53333333333333"
"0.0","52.53333333333333"
"0.0","52.53333333333333"
"0.0","52.53333333333333"
"0.0","52.53333333333333"
"0.0","52.53333333333333"
"0.0","52.53333333333333"
"0.0","52.53333333333333"
"0.0","52.53333333333333"
"0.0","52.133333333333326"
"0.0","52.133333333333326"
"0.0","52.133333333333326"
"0.0","52.133333333333326"
"0.0","52.133333333333326"
"0.0","52.133333333333326"
"0.0","52.133333333333326"
"0.0","52.133333333333326"
"0.0","52.133333333333326"
"0.0","52.133333333333326"
"0.0","52.133333333333326"
"0.0","52.133333333333326"
"0.0","52.133333333333326"
"0.0","52.133333333333326"
