"C_Number__c","C_Percent__c"
"219.87","-499.5"
"219.87","-499.5"
"219.87","-499.5"
"219.87","-499.5"
"219.87","-499.5"
"219.87","-499.5"
"219.87","-499.5"
"219.87","-499.5"
"219.87","-499.5"
"219.87","-499.5"
"219.87","-499.5"
"219.87","-499.5"
"219.87","-499.5"
"219.87","-499.5"
"219.87","-499.5"
"219.87","-499.5"
"219.87","-499.5"
"219.87","-499.5"
"219.87","-499.5"
"219.87","-499.5"
"219.87","-499.5"
"219.87","-499.5"
"219.87","-499.5"
"219.87","-499.5"
"219.87","-499.5"
"219.87","-499.5"
"219.87","-499.5"
"219.87","-499.5"
"219.87","-499.5"
"219.87","-499.5"
"219.87","-499.5"
"219.87","-499.5"
"219.87","-499.5"
"219.87","-499.5"
"219.87","-499.5"
"219.87","-499.5"
"219.87","-499.5"
"219.87","-499.5"
"219.87","-499.5"
"219.87","-499.5"
"219.87","-499.5"
"219.87","-499.5"
"219.87","-499.5"
"219.87","-499.5"
"219.87","-499.5"
"219.87","-499.5"
"219.87","-499.5"
"219.87","-499.5"
"219.0","-549.5"
"219.0","-549.5"
"219.0","-549.5"
"219.0","-549.5"
"219.0","-549.5"
"219.0","-549.5"
"219.0","-549.5"
"219.0","-549.5"
"219.0","-549.5"
"219.0","-549.5"
"219.0","-549.5"
"219.0","-549.5"
"219.0","-549.5"
"219.0","-549.5"
"219.0","-549.5"
"219.0","-549.5"
"219.0","-549.5"
"219.0","-549.5"
"219.0","-549.5"
"219.0","-549.5"
"219.0","-549.5"
"219.0","-549.5"
"219.0","-549.5"
"219.0","-549.5"
"219.0","-549.5"
"219.0","-549.5"
"219.0","-549.5"
"219.0","-549.5"
"219.0","-549.5"
"219.0","-549.5"
"219.0","-549.5"
"219.0","-549.5"
"219.0","-549.5"
"219.0","-549.5"
"219.0","-549.5"
"219.0","-549.5"
"219.0","-549.5"
"219.0","-549.5"
"219.0","-549.5"
"219.0","-549.5"
"219.0","-549.5"
"219.0","-549.5"
"219.0","-549.5"
"219.0","-549.5"
"219.0","-549.5"
"219.0","-549.5"
"219.0","-549.5"
"219.0","-549.5"
