"C_Text__c","C_Number__c"
"RULESUI Account 1","71.43"
"RULESUI Account 1","66.39"
"RULESUI Account 1","57.37"
"RULESUI Account 1","97.03"
"RULESUI Account 1","96.05"
"RULESUI Account 1","95.08"
"RULESUI Account 1","73.18"
"RULESUI Account 1","72.38"
"RULESUI Account 1","71.59"
"RULESUI Account 1","70.81"
"RULESUI Account 1","70.03"
"RULESUI Account 1","69.25"
"RULESUI Account 1","68.48"
"RULESUI Account 1","67.71"
"RULESUI Account 1","66.95"
"RULESUI Account 1","85.71"
"RULESUI Account 1","84.81"
"RULESUI Account 1","83.91"
"RULESUI Account 1","83.02"
"RULESUI Account 1","82.13"
"RULESUI Account 1","81.25"
"RULESUI Account 1","80.37"
"RULESUI Account 1","79.5"
"RULESUI Account 1","73.27"
"RULESUI Account 1","72.46"
"RULESUI Account 1","71.64"
"RULESUI Account 1","70.83"
"RULESUI Account 1","70.03"
"RULESUI Account 1","69.23"
"RULESUI Account 1","68.44"
"RULESUI Account 1","67.65"
"RULESUI Account 1","66.86"
"RULESUI Account 1","66.08"
"RULESUI Account 1","70.27"
"RULESUI Account 1","69.46"
"RULESUI Account 1","68.66"
"RULESUI Account 1","67.86"
"RULESUI Account 1","67.06"
"RULESUI Account 1","66.27"
"RULESUI Account 1","65.49"
"RULESUI Account 1","64.71"
"RULESUI Account 1","63.93"
"RULESUI Account 1","63.16"
"RULESUI Account 1","62.39"
"RULESUI Account 1","61.63"
"RULESUI Account 1","60.87"
"RULESUI Account 1","60.12"
"RULESUI Account 1","59.37"
"RULESUI Account 1","23.81"
"RULESUI Account 1","24.1"
"RULESUI Account 1","24.39"
"RULESUI Account 2","100.0"
"RULESUI Account 2","19.09"
"RULESUI Account 2","57.37"
"RULESUI Account 2","97.03"
"RULESUI Account 2","96.05"
"RULESUI Account 2","95.08"
"RULESUI Account 2","73.18"
"RULESUI Account 2","72.38"
"RULESUI Account 2","74.63"
"RULESUI Account 2","73.82"
"RULESUI Account 2","73.02"
"RULESUI Account 2","72.22"
"RULESUI Account 2","71.43"
"RULESUI Account 2","70.64"
"RULESUI Account 2","69.86"
"RULESUI Account 2","69.08"
"RULESUI Account 2","84.81"
"RULESUI Account 2","83.91"
"RULESUI Account 2","83.02"
"RULESUI Account 2","82.13"
"RULESUI Account 2","81.25"
"RULESUI Account 2","80.37"
"RULESUI Account 2","79.5"
"RULESUI Account 2","73.27"
"RULESUI Account 2","72.46"
"RULESUI Account 2","71.64"
"RULESUI Account 2","70.83"
"RULESUI Account 2","70.03"
"RULESUI Account 2","69.23"
"RULESUI Account 2","68.44"
"RULESUI Account 2","67.65"
"RULESUI Account 2","66.86"
"RULESUI Account 2","66.08"
"RULESUI Account 2","70.27"
"RULESUI Account 2","69.46"
"RULESUI Account 2","68.66"
"RULESUI Account 2","67.86"
"RULESUI Account 2","67.06"
"RULESUI Account 2","66.27"
"RULESUI Account 2","65.49"
"RULESUI Account 2","64.71"
"RULESUI Account 2","63.93"
"RULESUI Account 2","63.16"
"RULESUI Account 2","62.39"
"RULESUI Account 2","61.63"
"RULESUI Account 2","60.87"
"RULESUI Account 2","60.12"
"RULESUI Account 2","59.37"
