"ActiveUsers__c","AccPercentage__c","C_Number__c","C_Percent__c"
"583.0","583.0","500.0","296.35"
"582.0","582.0","499.0","295.35"
"581.0","581.0","498.0","294.35"
"580.0","580.0","497.0","293.35"
"579.0","579.0","496.0","292.35"
"578.0","578.0","495.0","291.35"
"577.0","577.0","494.0","290.35"
"576.0","576.0","493.0","289.35"
"575.0","575.0","492.0","288.35"
"574.0","574.0","491.0","287.35"
"573.0","573.0","490.0","286.35"
"572.0","572.0","489.0","285.35"
"571.0","571.0","488.0","284.35"
"570.0","570.0","487.0","283.35"
"569.0","569.0","486.0","282.35"
"568.0","568.0","485.0","281.35"
"567.0","567.0","484.0","280.35"
"566.0","566.0","483.0","279.35"
"565.0","565.0","482.0","278.35"
"564.0","564.0","481.0","277.35"
"563.0","563.0","480.0","276.35"
"562.0","562.0","479.0","275.35"
"561.0","561.0","478.0","274.35"
"560.0","560.0","477.0","273.35"
"559.0","559.0","476.0","272.35"
"558.0","558.0","475.0","271.35"
"557.0","557.0","474.0","270.35"
"556.0","556.0","473.0","269.35"
"555.0","555.0","472.0","268.35"
"554.0","554.0","471.0","267.35"
"553.0","553.0","470.0","266.35"
"552.0","552.0","469.0","265.35"
"551.0","551.0","468.0","264.35"
"550.0","550.0","467.0","263.35"
"549.0","549.0","466.0","262.35"
"548.0","548.0","465.0","261.35"
"547.0","547.0","464.0","260.35"
"546.0","546.0","463.0","259.35"
"545.0","545.0","462.0","258.35"
"544.0","544.0","461.0","257.35"
"543.0","543.0","460.0","256.35"
"542.0","542.0","459.0","255.35"
"541.0","541.0","458.0","254.35"
"540.0","540.0","457.0","253.35"
"539.0","539.0","456.0","252.35"
"538.0","538.0","455.0","251.35"
"537.0","537.0","454.0","250.35"
"536.0","536.0","453.0","249.35"
"684.0","684.0","600.0","389.75"
"583.0","583.0","499.0","288.75"
"582.0","582.0","498.0","287.75"
"581.0","581.0","497.0","286.75"
"580.0","580.0","496.0","285.75"
"579.0","579.0","495.0","284.75"
"578.0","578.0","494.0","283.75"
"577.0","577.0","493.0","282.75"
"576.0","576.0","492.0","281.75"
"575.0","575.0","491.0","280.75"
"574.0","574.0","490.0","279.75"
"573.0","573.0","489.0","278.75"
"572.0","572.0","488.0","277.75"
"571.0","571.0","487.0","276.75"
"570.0","570.0","486.0","275.75"
"569.0","569.0","485.0","274.75"
"568.0","568.0","484.0","273.75"
"567.0","567.0","483.0","272.75"
"566.0","566.0","482.0","271.75"
"565.0","565.0","481.0","270.75"
"564.0","564.0","480.0","269.75"
"563.0","563.0","479.0","268.75"
"562.0","562.0","478.0","267.75"
"561.0","561.0","477.0","266.75"
"559.0","559.0","475.0","264.75"
"558.0","558.0","474.0","263.75"
"557.0","557.0","473.0","262.75"
"556.0","556.0","472.0","261.75"
"555.0","555.0","471.0","260.75"
"554.0","554.0","470.0","259.75"
"553.0","553.0","469.0","258.75"
"552.0","552.0","468.0","257.75"
"551.0","551.0","467.0","256.75"
"550.0","550.0","466.0","255.75"
"549.0","549.0","465.0","254.75"
"548.0","548.0","464.0","253.75"
"547.0","547.0","463.0","252.75"
"546.0","546.0","462.0","251.75"
"545.0","545.0","461.0","250.75"
"544.0","544.0","460.0","249.75"
"543.0","543.0","459.0","248.75"
"542.0","542.0","458.0","247.75"
"541.0","541.0","457.0","246.75"
"540.0","540.0","456.0","245.75"
"539.0","539.0","455.0","244.75"
"538.0","538.0","454.0","243.75"
"537.0","537.0","453.0","242.75"
"560.0","560.0","476.0","265.75"
