"C_Text__c","ActiveUsers__c","C_Number__c"
"RULESUI Account 1","3298.0","594.0"
"RULESUI Account 1","3298.0","594.0"
"RULESUI Account 1","3298.0","594.0"
"RULESUI Account 1","3298.0","594.0"
"RULESUI Account 1","3298.0","594.0"
"RULESUI Account 1","3298.0","594.0"
"RULESUI Account 1","3298.0","594.0"
"RULESUI Account 1","3298.0","594.0"
"RULESUI Account 1","3298.0","594.0"
"RULESUI Account 1","3298.0","594.0"
"RULESUI Account 1","3298.0","594.0"
"RULESUI Account 1","3298.0","594.0"
"RULESUI Account 1","3298.0","594.0"
"RULESUI Account 1","3298.0","594.0"
"RULESUI Account 1","3298.0","594.0"
"RULESUI Account 1","3298.0","594.0"
"RULESUI Account 1","3298.0","594.0"
"RULESUI Account 1","3298.0","594.0"
"RULESUI Account 1","3298.0","594.0"
"RULESUI Account 1","3298.0","594.0"
"RULESUI Account 1","3298.0","594.0"
"RULESUI Account 1","3298.0","594.0"
"RULESUI Account 1","3298.0","594.0"
"RULESUI Account 1","3298.0","594.0"
"RULESUI Account 1","3298.0","594.0"
"RULESUI Account 1","3298.0","594.0"
"RULESUI Account 1","3298.0","594.0"
"RULESUI Account 1","3298.0","594.0"
"RULESUI Account 1","3298.0","594.0"
"RULESUI Account 1","3298.0","594.0"
"RULESUI Account 1","3298.0","594.0"
"RULESUI Account 1","3298.0","594.0"
"RULESUI Account 1","3298.0","594.0"
"RULESUI Account 1","3298.0","594.0"
"RULESUI Account 1","3298.0","594.0"
"RULESUI Account 1","3298.0","594.0"
"RULESUI Account 1","3298.0","594.0"
"RULESUI Account 1","3298.0","594.0"
"RULESUI Account 1","3298.0","594.0"
"RULESUI Account 1","3298.0","594.0"
"RULESUI Account 1","3298.0","594.0"
"RULESUI Account 1","3298.0","594.0"
"RULESUI Account 1","3298.0","594.0"
"RULESUI Account 1","3298.0","594.0"
"RULESUI Account 1","3298.0","594.0"
"RULESUI Account 1","3298.0","594.0"
"RULESUI Account 1","3298.0","594.0"
"RULESUI Account 1","3298.0","594.0"
"RULESUI Account 2","3285.0","594.0"
"RULESUI Account 2","3285.0","594.0"
"RULESUI Account 2","3285.0","594.0"
"RULESUI Account 2","3285.0","594.0"
"RULESUI Account 2","3285.0","594.0"
"RULESUI Account 2","3285.0","594.0"
"RULESUI Account 2","3285.0","594.0"
"RULESUI Account 2","3285.0","594.0"
"RULESUI Account 2","3285.0","594.0"
"RULESUI Account 2","3285.0","594.0"
"RULESUI Account 2","3285.0","594.0"
"RULESUI Account 2","3285.0","594.0"
"RULESUI Account 2","3285.0","594.0"
"RULESUI Account 2","3285.0","594.0"
"RULESUI Account 2","3285.0","594.0"
"RULESUI Account 2","3285.0","594.0"
"RULESUI Account 2","3285.0","594.0"
"RULESUI Account 2","3285.0","594.0"
"RULESUI Account 2","3285.0","594.0"
"RULESUI Account 2","3285.0","594.0"
"RULESUI Account 2","3285.0","594.0"
"RULESUI Account 2","3285.0","594.0"
"RULESUI Account 2","3285.0","594.0"
"RULESUI Account 2","3285.0","594.0"
"RULESUI Account 2","3285.0","594.0"
"RULESUI Account 2","3285.0","594.0"
"RULESUI Account 2","3285.0","594.0"
"RULESUI Account 2","3285.0","594.0"
"RULESUI Account 2","3285.0","594.0"
"RULESUI Account 2","3285.0","594.0"
"RULESUI Account 2","3285.0","594.0"
"RULESUI Account 2","3285.0","594.0"
"RULESUI Account 2","3285.0","594.0"
"RULESUI Account 2","3285.0","594.0"
"RULESUI Account 2","3285.0","594.0"
"RULESUI Account 2","3285.0","594.0"
"RULESUI Account 2","3285.0","594.0"
"RULESUI Account 2","3285.0","594.0"
"RULESUI Account 2","3285.0","594.0"
"RULESUI Account 2","3285.0","594.0"
"RULESUI Account 2","3285.0","594.0"
"RULESUI Account 2","3285.0","594.0"
"RULESUI Account 2","3285.0","594.0"
"RULESUI Account 2","3285.0","594.0"
"RULESUI Account 2","3285.0","594.0"
"RULESUI Account 2","3285.0","594.0"
"RULESUI Account 2","3285.0","594.0"
"RULESUI Account 2","3285.0","594.0"
