Id,AccountName,Type,Active,AnnualRevenue,Date,CreatedDateTime,Regions,Industry,isDeleted
0011a000002ZDIDAA4,A and T unlimit Limited,,,5000,-1,,India;USA,,
0011a000002ZDIIAA4,A B COMUNICACION SA DE CV,Customer,FALSE,23423,-2,,USA,,
0011a000002ZDINAA4,AAM Freudenberg NOK General Partnership,Prospect,TRUE,23432,,-5,Canada,,
0011a000002ZDISAA4,AAR Corp Hardware Abscoa Division,Prospect,FALSE,,-2,-3,,Agriculture,TRUE
0011a000002ZDIXAA4,Abacus Programming Corporation,,TRUE,12,,,Europe,IT,FALSE
0011a000002ZDIcAAO,Abberley Kooiman,,,32,-1,-5,Australia,Biotechnology,
0011a000002mkSsAAI,Abbett Electric Corp,Installation Partner,FALSE,,-2,-7,,,
0011a000002mkStAAI,Abbey Press Inc,Installation Partner,FALSE,3000,-3,,,,
0011a000002mkSuAAI,ABASTECIMIENTOS INDUSTRIALES GH SA DE CV,Prospect,TRUE,1000000,-4,-5,,Communications,
0011a000004S7ODAA0,ABICO DIGITAL IMAGING INC,Customer,FALSE,,,,,,
