"C_Percent__c","ActiveUsers__c","C_Number__c","AccPercentage__c"
"-419.5","-595.0","-242.0","-595.0"
"-418.5","-594.0","-241.0","-594.0"
"-417.5","-593.0","-240.0","-593.0"
"-416.5","-592.0","-239.0","-592.0"
"-415.5","-591.0","-238.0","-591.0"
"-414.5","-590.0","-237.0","-590.0"
"-413.5","-589.0","-236.0","-589.0"
"-412.5","-588.0","-235.0","-588.0"
"-411.5","-587.0","-234.0","-587.0"
"-410.5","-586.0","-233.0","-586.0"
"-409.5","-585.0","-232.0","-585.0"
"-408.5","-584.0","-231.0","-584.0"
"-407.5","-583.0","-230.0","-583.0"
"-406.5","-582.0","-229.0","-582.0"
"-405.5","-581.0","-228.0","-581.0"
"-404.5","-580.0","-227.0","-580.0"
"-403.5","-579.0","-226.0","-579.0"
"-402.5","-578.0","-225.0","-578.0"
"-401.5","-577.0","-224.0","-577.0"
"-400.5","-576.0","-223.0","-576.0"
"-399.5","-575.0","-222.0","-575.0"
"-398.5","-574.0","-221.0","-574.0"
"-397.5","-573.0","-220.0","-573.0"
"-396.5","-572.0","-219.0","-572.0"
"-395.5","-571.0","-218.0","-571.0"
"-394.5","-570.0","-217.0","-570.0"
"-393.5","-569.0","-216.0","-569.0"
"-392.5","-568.0","-215.0","-568.0"
"-391.5","-567.0","-214.0","-567.0"
"-390.5","-566.0","-213.0","-566.0"
"-389.5","-565.0","-212.0","-565.0"
"-388.5","-564.0","-211.0","-564.0"
"-387.5","-563.0","-210.0","-563.0"
"-386.5","-562.0","-209.0","-562.0"
"-385.5","-561.0","-208.0","-561.0"
"-384.5","-560.0","-207.0","-560.0"
"-383.5","-559.0","-206.0","-559.0"
"-382.5","-558.0","-205.0","-558.0"
"-381.5","-557.0","-204.0","-557.0"
"-380.5","-556.0","-203.0","-556.0"
"-379.5","-555.0","-202.0","-555.0"
"-378.5","-554.0","-201.0","-554.0"
"-377.5","-553.0","-200.0","-553.0"
"-376.5","-552.0","-199.0","-552.0"
"-375.5","-551.0","-198.0","-551.0"
"-342.5","-518.0","-165.0","-518.0"
"-337.5","-513.0","-160.0","-513.0"
"-332.5","-508.0","-155.0","-508.0"
"-486.75","-698.0","-273.5","-698.0"
"-385.75","-597.0","-172.5","-597.0"
"-384.75","-596.0","-171.5","-596.0"
"-383.75","-595.0","-170.5","-595.0"
"-382.75","-594.0","-169.5","-594.0"
"-381.75","-593.0","-168.5","-593.0"
"-380.75","-592.0","-167.5","-592.0"
"-379.75","-591.0","-166.5","-591.0"
"-378.75","-590.0","-165.5","-590.0"
"-377.75","-589.0","-164.5","-589.0"
"-376.75","-588.0","-163.5","-588.0"
"-375.75","-587.0","-162.5","-587.0"
"-374.75","-586.0","-161.5","-586.0"
"-373.75","-585.0","-160.5","-585.0"
"-372.75","-584.0","-159.5","-584.0"
"-371.75","-583.0","-158.5","-583.0"
"-370.75","-582.0","-157.5","-582.0"
"-369.75","-581.0","-156.5","-581.0"
"-368.75","-580.0","-155.5","-580.0"
"-367.75","-579.0","-154.5","-579.0"
"-366.75","-578.0","-153.5","-578.0"
"-365.75","-577.0","-152.5","-577.0"
"-364.75","-576.0","-151.5","-576.0"
"-363.75","-575.0","-150.5","-575.0"
"-362.75","-574.0","-149.5","-574.0"
"-361.75","-573.0","-148.5","-573.0"
"-360.75","-572.0","-147.5","-572.0"
"-359.75","-571.0","-146.5","-571.0"
"-358.75","-570.0","-145.5","-570.0"
"-357.75","-569.0","-144.5","-569.0"
"-356.75","-568.0","-143.5","-568.0"
"-355.75","-567.0","-142.5","-567.0"
"-354.75","-566.0","-141.5","-566.0"
"-353.75","-565.0","-140.5","-565.0"
"-352.75","-564.0","-139.5","-564.0"
"-351.75","-563.0","-138.5","-563.0"
"-350.75","-562.0","-137.5","-562.0"
"-349.75","-561.0","-136.5","-561.0"
"-348.75","-560.0","-135.5","-560.0"
"-347.75","-559.0","-134.5","-559.0"
"-346.75","-558.0","-133.5","-558.0"
"-345.75","-557.0","-132.5","-557.0"
"-344.75","-556.0","-131.5","-556.0"
"-343.75","-555.0","-130.5","-555.0"
"-342.75","-554.0","-129.5","-554.0"
"-341.75","-553.0","-128.5","-553.0"
"-340.75","-552.0","-127.5","-552.0"
"-339.75","-551.0","-126.5","-551.0"
"-422.5","-598.0","-245.0","-598.0"
"-421.5","-597.0","-244.0","-597.0"
"-420.5","-596.0","-243.0","-596.0"
