"C_Number__c","C_Text__c","ActiveUsers__c","C_Percent__c"
"1995.0","RULESUI Account 1","52115.0","8415.0"
"1995.0","RULESUI Account 1","52115.0","8415.0"
"1995.0","RULESUI Account 1","52115.0","8415.0"
"1995.0","RULESUI Account 1","52115.0","8415.0"
"1995.0","RULESUI Account 1","52115.0","8415.0"
"1995.0","RULESUI Account 1","52115.0","8415.0"
"1995.0","RULESUI Account 1","52115.0","8415.0"
"1995.0","RULESUI Account 1","52115.0","8415.0"
"1995.0","RULESUI Account 1","52115.0","8415.0"
"1995.0","RULESUI Account 1","52115.0","8415.0"
"1995.0","RULESUI Account 1","52115.0","8415.0"
"1995.0","RULESUI Account 1","52115.0","8415.0"
"1995.0","RULESUI Account 1","52115.0","8415.0"
"1995.0","RULESUI Account 1","52115.0","8415.0"
"1995.0","RULESUI Account 1","52115.0","8415.0"
"1995.0","RULESUI Account 1","52115.0","8415.0"
"1995.0","RULESUI Account 1","52115.0","8415.0"
"1995.0","RULESUI Account 1","52115.0","8415.0"
"1995.0","RULESUI Account 1","52115.0","8415.0"
"1995.0","RULESUI Account 1","52115.0","8415.0"
"1995.0","RULESUI Account 1","52115.0","8415.0"
"1995.0","RULESUI Account 1","52115.0","8415.0"
"1995.0","RULESUI Account 1","52115.0","8415.0"
"1995.0","RULESUI Account 1","52115.0","8415.0"
"1995.0","RULESUI Account 1","52115.0","8415.0"
"1995.0","RULESUI Account 1","52115.0","8415.0"
"1995.0","RULESUI Account 1","52115.0","8415.0"
"1995.0","RULESUI Account 1","52115.0","8415.0"
"1995.0","RULESUI Account 1","52115.0","8415.0"
"1995.0","RULESUI Account 1","52115.0","8415.0"
"1995.0","RULESUI Account 1","52115.0","8415.0"
"1995.0","RULESUI Account 1","52115.0","8415.0"
"1995.0","RULESUI Account 1","52115.0","8415.0"
"1995.0","RULESUI Account 1","52115.0","8415.0"
"1995.0","RULESUI Account 1","52115.0","8415.0"
"1995.0","RULESUI Account 1","52115.0","8415.0"
"1995.0","RULESUI Account 1","52115.0","8415.0"
"1995.0","RULESUI Account 1","52115.0","8415.0"
"1995.0","RULESUI Account 1","52115.0","8415.0"
"1995.0","RULESUI Account 1","52115.0","8415.0"
"1995.0","RULESUI Account 1","52115.0","8415.0"
"1995.0","RULESUI Account 1","52115.0","8415.0"
"1995.0","RULESUI Account 1","52115.0","8415.0"
"1995.0","RULESUI Account 1","52115.0","8415.0"
"1995.0","RULESUI Account 1","52115.0","8415.0"
"1995.0","RULESUI Account 1","52115.0","8415.0"
"1995.0","RULESUI Account 1","52115.0","8415.0"
"1995.0","RULESUI Account 1","52115.0","8415.0"
"1995.0","RULESUI Account 1","52115.0","8415.0"
"1995.0","RULESUI Account 1","52115.0","8415.0"
"1995.0","RULESUI Account 1","52115.0","8415.0"
"1995.0","RULESUI Account 1","52115.0","8415.0"
"1995.0","RULESUI Account 1","52115.0","8415.0"
"1995.0","RULESUI Account 1","52115.0","8415.0"
"1995.0","RULESUI Account 1","52115.0","8415.0"
"1995.0","RULESUI Account 1","52115.0","8415.0"
"1995.0","RULESUI Account 1","52115.0","8415.0"
"1995.0","RULESUI Account 1","52115.0","8415.0"
"1995.0","RULESUI Account 1","52115.0","8415.0"
"1995.0","RULESUI Account 1","52115.0","8415.0"
"1995.0","RULESUI Account 1","52115.0","8415.0"
"1995.0","RULESUI Account 1","52115.0","8415.0"
"1995.0","RULESUI Account 1","52115.0","8415.0"
"1995.0","RULESUI Account 1","52115.0","8415.0"
"1995.0","RULESUI Account 1","52115.0","8415.0"
"1995.0","RULESUI Account 1","52115.0","8415.0"
"1995.0","RULESUI Account 1","52115.0","8415.0"
"1995.0","RULESUI Account 1","52115.0","8415.0"
"1995.0","RULESUI Account 1","52115.0","8415.0"
"1995.0","RULESUI Account 1","52115.0","8415.0"
"1995.0","RULESUI Account 1","52115.0","8415.0"
"1995.0","RULESUI Account 1","52115.0","8415.0"
"1995.0","RULESUI Account 1","52115.0","8415.0"
"1995.0","RULESUI Account 1","52115.0","8415.0"
"1995.0","RULESUI Account 1","52115.0","8415.0"
"1995.0","RULESUI Account 1","52115.0","8415.0"
"1995.0","RULESUI Account 1","52115.0","8415.0"
"1995.0","RULESUI Account 1","52115.0","8415.0"
"1995.0","RULESUI Account 1","52115.0","8415.0"
"1995.0","RULESUI Account 1","52115.0","8415.0"
"1995.0","RULESUI Account 1","52115.0","8415.0"
"1995.0","RULESUI Account 1","52115.0","8415.0"
"1995.0","RULESUI Account 1","52115.0","8415.0"
"1995.0","RULESUI Account 1","52115.0","8415.0"
"1995.0","RULESUI Account 1","52115.0","8415.0"
"1995.0","RULESUI Account 1","52115.0","8415.0"
"1995.0","RULESUI Account 1","52115.0","8415.0"
"1995.0","RULESUI Account 1","52115.0","8415.0"
"1995.0","RULESUI Account 1","52115.0","8415.0"
"1995.0","RULESUI Account 1","52115.0","8415.0"
"1995.0","RULESUI Account 1","52115.0","8415.0"
"1995.0","RULESUI Account 1","52115.0","8415.0"
"1995.0","RULESUI Account 1","52115.0","8415.0"
"1995.0","RULESUI Account 1","52115.0","8415.0"
"1995.0","RULESUI Account 1","52115.0","8415.0"
"1995.0","RULESUI Account 1","52115.0","8415.0"
"1995.0","RULESUI Account 1","52115.0","8415.0"
"1995.0","RULESUI Account 1","52115.0","8415.0"
"1995.0","RULESUI Account 1","52115.0","8415.0"
