"C_Text__c","ActiveUsers__c","AccPercentage__c","C_Number__c","C_Percent__c"
"RULESUI Account 1","2.0","2.0","100.0","20.0"
"RULESUI Account 1","2.0","2.0","100.0","20.0"
"RULESUI Account 2","2.0","2.0","","26.67"
"RULESUI Account 2","2.0","2.0","","26.67"
"RULESUI Account 3","4.0","4.0","","86.67"
"RULESUI Account 3","4.0","4.0","","86.67"
"RULESUI Account 3","4.0","4.0","","86.67"
"RULESUI Account 3","4.0","4.0","","86.67"
"RULESUI Account 3","4.0","4.0","","86.67"
"RULESUI Account 3","4.0","4.0","","86.67"
"RULESUI Account 3","4.0","4.0","","86.67"
"RULESUI Account 3","4.0","4.0","","86.67"
"RULESUI Account 3","4.0","4.0","","86.67"
"RULESUI Account 3","4.0","4.0","","86.67"
"RULESUI Account 3","4.0","4.0","","86.67"
"RULESUI Account 3","4.0","4.0","","86.67"
"RULESUI Account 4","3.0","3.0","","20.0"
"RULESUI Account 4","3.0","3.0","","20.0"
"RULESUI Account 4","3.0","3.0","","20.0"
"RULESUI Account 4","3.0","3.0","","20.0"
"RULESUI Account 4","3.0","3.0","","20.0"
"RULESUI Account 4","3.0","3.0","","20.0"
"RULESUI Account 4","3.0","3.0","","20.0"
"RULESUI Account 4","3.0","3.0","","20.0"
"RULESUI Account 4","3.0","3.0","","20.0"
"RULESUI Account 4","3.0","3.0","","20.0"
"RULESUI Account 4","3.0","3.0","","20.0"
"RULESUI Account 4","3.0","3.0","","20.0"
"RULESUI Account 4","3.0","3.0","","20.0"
"RULESUI Account 5","3.0","3.0","0.0","20.07"
"RULESUI Account 5","3.0","3.0","0.0","20.07"
"RULESUI Account 3","4.0","4.0","","86.67"
"RULESUI Account 5","3.0","3.0","0.0","20.07"
"RULESUI Account 5","3.0","3.0","0.0","20.07"
"RULESUI Account 5","3.0","3.0","0.0","20.07"
"RULESUI Account 5","3.0","3.0","0.0","20.07"
"RULESUI Account 5","3.0","3.0","0.0","20.07"
"RULESUI Account 5","3.0","3.0","0.0","20.07"
"RULESUI Account 5","3.0","3.0","0.0","20.07"
"RULESUI Account 5","3.0","3.0","0.0","20.07"
"RULESUI Account 5","3.0","3.0","0.0","20.07"
"RULESUI Account 5","3.0","3.0","0.0","20.07"
"RULESUI Account 5","3.0","3.0","0.0","20.07"
"RULESUI Account 6","3.0","3.0","200.0","33.33"
"RULESUI Account 6","3.0","3.0","200.0","33.33"
"RULESUI Account 6","3.0","3.0","200.0","33.33"
"RULESUI Account 6","3.0","3.0","200.0","33.33"
"RULESUI Account 6","3.0","3.0","200.0","33.33"
"RULESUI Account 6","3.0","3.0","200.0","33.33"
"RULESUI Account 6","3.0","3.0","200.0","33.33"
"RULESUI Account 6","3.0","3.0","200.0","33.33"
"RULESUI Account 6","3.0","3.0","200.0","33.33"
"RULESUI Account 6","3.0","3.0","200.0","33.33"
"RULESUI Account 6","3.0","3.0","200.0","33.33"
"RULESUI Account 6","3.0","3.0","200.0","33.33"
"RULESUI Account 6","3.0","3.0","200.0","33.33"
"RULESUI Account 7","3.0","3.0","","33.33"
"RULESUI Account 7","3.0","3.0","","33.33"
"RULESUI Account 7","3.0","3.0","","33.33"
"RULESUI Account 7","3.0","3.0","","33.33"
"RULESUI Account 7","3.0","3.0","","33.33"
"RULESUI Account 7","3.0","3.0","","33.33"
"RULESUI Account 7","3.0","3.0","","33.33"
"RULESUI Account 7","3.0","3.0","","33.33"
"RULESUI Account 7","3.0","3.0","","33.33"
"RULESUI Account 7","3.0","3.0","","33.33"
"RULESUI Account 7","3.0","3.0","","33.33"
"RULESUI Account 7","3.0","3.0","","33.33"
"RULESUI Account 8","3.0","3.0","","53.33"
"RULESUI Account 8","3.0","3.0","","53.33"
"RULESUI Account 8","3.0","3.0","","53.33"
"RULESUI Account 8","3.0","3.0","","53.33"
"RULESUI Account 8","3.0","3.0","","53.33"
"RULESUI Account 8","3.0","3.0","","53.33"
"RULESUI Account 8","3.0","3.0","","53.33"
"RULESUI Account 8","3.0","3.0","","53.33"
"RULESUI Account 8","3.0","3.0","","53.33"
"RULESUI Account 8","3.0","3.0","","53.33"
"RULESUI Account 8","3.0","3.0","","53.33"
"RULESUI Account 8","3.0","3.0","","53.33"
"RULESUI Account 8","3.0","3.0","","53.33"
"RULESUI Account 9","3.0","3.0","","66.67"
"RULESUI Account 9","3.0","3.0","","66.67"
"RULESUI Account 9","3.0","3.0","","66.67"
"RULESUI Account 9","3.0","3.0","","66.67"
"RULESUI Account 9","3.0","3.0","","66.67"
"RULESUI Account 7","3.0","3.0","","33.33"
"RULESUI Account 9","3.0","3.0","","66.67"
"RULESUI Account 9","3.0","3.0","","66.67"
"RULESUI Account 9","3.0","3.0","","66.67"
"RULESUI Account 9","3.0","3.0","","66.67"
"RULESUI Account 9","3.0","3.0","","66.67"
"RULESUI Account 9","3.0","3.0","","66.67"
"RULESUI Account 9","3.0","3.0","","66.67"
"RULESUI Account 9","3.0","3.0","","66.67"
"RULESUI Account 9","3.0","3.0","","66.67"
