"ActiveUsers__c","AccPercentage__c","C_Number__c","C_Percent__c"
"-99.78021978021978","-99.78021978021978","-89.01098901098901","-80.4945054945055"
"-99.77777777777777","-99.77777777777777","-88.88888888888889","-80.27777777777779"
"-99.77777777777777","-99.77777777777777","-88.88888888888889","-80.27777777777779"
"-99.77777777777777","-99.77777777777777","-88.88888888888889","-80.27777777777779"
"-99.77777777777777","-99.77777777777777","-88.88888888888889","-80.27777777777779"
"-99.78655282817502","-99.78655282817502","-89.32764140875133","-81.05656350053361"
"-99.78655282817502","-99.78655282817502","-89.32764140875133","-81.05656350053361"
"-99.77777777777777","-99.77777777777777","-88.88888888888889","-80.27777777777779"
"-99.77777777777777","-99.77777777777777","-88.88888888888889","-80.27777777777779"
"-99.78021978021978","-99.78021978021978","-89.01098901098901","-80.4945054945055"
"-99.78021978021978","-99.78021978021978","-89.01098901098901","-80.4945054945055"
"-99.78021978021978","-99.78021978021978","-89.01098901098901","-80.4945054945055"
"-99.78021978021978","-99.78021978021978","-89.01098901098901","-80.4945054945055"
"-99.77777777777777","-99.77777777777777","-88.88888888888889","-80.27777777777779"
"-99.77777777777777","-99.77777777777777","-88.88888888888889","-80.27777777777779"
"-99.77777777777777","-99.77777777777777","-88.88888888888889","-80.27777777777779"
"-99.77777777777777","-99.77777777777777","-88.88888888888889","-80.27777777777779"
"-99.78947368421053","-99.78947368421053","-89.47368421052632","-81.3157894736842"
"-99.78947368421053","-99.78947368421053","-89.47368421052632","-81.3157894736842"
"-99.78655282817502","-99.78655282817502","-89.32764140875133","-81.05656350053361"
"-99.78021978021978","-99.78021978021978","-89.01098901098901","-80.4945054945055"
"-99.78655282817502","-99.78655282817502","-89.32764140875133","-81.05656350053361"
"-99.77777777777777","-99.77777777777777","-88.88888888888889","-80.27777777777779"
"-99.77777777777777","-99.77777777777777","-88.88888888888889","-80.27777777777779"
"-99.78021978021978","-99.78021978021978","-89.01098901098901","-80.4945054945055"
"-99.78021978021978","-99.78021978021978","-89.01098901098901","-80.4945054945055"
"-99.78021978021978","-99.78021978021978","-89.01098901098901","-80.4945054945055"
"-99.78021978021978","-99.78021978021978","-89.01098901098901","-80.4945054945055"
"-99.77777777777777","-99.77777777777777","-88.88888888888889","-80.27777777777779"
"-99.77777777777777","-99.77777777777777","-88.88888888888889","-80.27777777777779"
"-99.77777777777777","-99.77777777777777","-88.88888888888889","-80.27777777777779"
"-99.78655282817502","-99.78655282817502","-89.32764140875133","-81.05656350053361"
"-99.78655282817502","-99.78655282817502","-89.32764140875133","-81.05656350053361"
"-99.77777777777777","-99.77777777777777","-88.88888888888889","-80.27777777777779"
"-99.77777777777777","-99.77777777777777","-88.88888888888889","-80.27777777777779"
"-99.78021978021978","-99.78021978021978","-89.01098901098901","-80.4945054945055"
