"C_Number__c","C_Percent__c"
"-44.44444444444444","13671.12"
"-44.44444444444444","13671.12"
"-33.33333333333333","13693.41"
"-33.33333333333333","13693.41"
"-33.33333333333333","13693.41"
"-33.33333333333333","13693.41"
"-33.33333333333333","13693.41"
"-33.33333333333333","13693.41"
"-33.33333333333333","13693.41"
"-33.33333333333333","13693.41"
"-33.33333333333333","13693.41"
"-33.33333333333333","13693.41"
"-33.33333333333333","13693.41"
"-33.33333333333333","13693.41"
"-33.33333333333333","13693.41"
"-33.33333333333333","13693.41"
"-33.33333333333333","13693.41"
"-33.33333333333333","13693.41"
"-33.33333333333333","13693.41"
"-33.33333333333333","13693.41"
"-33.33333333333333","13693.41"
"-33.33333333333333","13693.41"
"-33.33333333333333","13693.41"
"-33.33333333333333","13693.41"
"-33.33333333333333","13693.41"
"-33.33333333333333","13693.41"
"-33.33333333333333","13693.41"
"-33.33333333333333","13693.41"
"-33.33333333333333","13693.41"
"-33.33333333333333","13693.41"
"-33.33333333333333","13693.41"
"-33.33333333333333","13693.41"
"-33.33333333333333","13693.41"
"-33.33333333333333","13693.41"
"-33.33333333333333","13693.41"
"-33.33333333333333","13693.41"
"-33.33333333333333","13693.41"
"-33.33333333333333","13693.41"
"-33.33333333333333","13693.41"
"-33.33333333333333","13693.41"
"-33.33333333333333","13693.41"
"-33.33333333333333","13693.41"
"-33.33333333333333","13693.41"
"-33.33333333333333","13693.41"
"-33.33333333333333","13693.41"
"-33.33333333333333","13693.41"
"-33.33333333333333","13693.41"
"-33.33333333333333","13693.41"
"-33.33333333333333","13693.41"
"-33.33333333333333","13693.41"
"-44.44444444444444","13671.12"
"-44.44444444444444","13671.12"
"-44.44444444444444","13671.12"
"-44.44444444444444","13671.12"
"-44.44444444444444","13671.12"
"-44.44444444444444","13671.12"
"-44.44444444444444","13671.12"
"-44.44444444444444","13671.12"
"-44.44444444444444","13671.12"
"-44.44444444444444","13671.12"
"-44.44444444444444","13671.12"
"-44.44444444444444","13671.12"
"-44.44444444444444","13671.12"
"-44.44444444444444","13671.12"
"-44.44444444444444","13671.12"
"-44.44444444444444","13671.12"
"-44.44444444444444","13671.12"
"-44.44444444444444","13671.12"
"-44.44444444444444","13671.12"
"-44.44444444444444","13671.12"
"-44.44444444444444","13671.12"
"-44.44444444444444","13671.12"
"-44.44444444444444","13671.12"
"-44.44444444444444","13671.12"
"-44.44444444444444","13671.12"
"-44.44444444444444","13671.12"
"-44.44444444444444","13671.12"
"-44.44444444444444","13671.12"
"-44.44444444444444","13671.12"
"-44.44444444444444","13671.12"
"-44.44444444444444","13671.12"
"-44.44444444444444","13671.12"
"-44.44444444444444","13671.12"
"-44.44444444444444","13671.12"
"-44.44444444444444","13671.12"
"-44.44444444444444","13671.12"
"-44.44444444444444","13671.12"
"-44.44444444444444","13671.12"
"-44.44444444444444","13671.12"
"-44.44444444444444","13671.12"
"-44.44444444444444","13671.12"
"-44.44444444444444","13671.12"
"-44.44444444444444","13671.12"
"-44.44444444444444","13671.12"
"-44.44444444444444","13671.12"
"-44.44444444444444","13671.12"
