"C_Number__c","C_Percent__c"
"-29.411764705882355","67.82"
"-29.411764705882355","67.82"
"-29.411764705882355","67.82"
"-29.411764705882355","67.82"
"-29.411764705882355","67.82"
"-29.411764705882355","67.82"
"-29.411764705882355","67.82"
"-29.411764705882355","67.82"
"-29.411764705882355","67.82"
"-29.411764705882355","67.82"
"-29.411764705882355","67.82"
"-29.411764705882355","67.82"
"-29.411764705882355","67.82"
"-29.411764705882355","67.82"
"-29.411764705882355","67.82"
"-29.411764705882355","67.82"
"-29.411764705882355","67.82"
"-29.411764705882355","67.82"
"-29.411764705882355","67.82"
"-29.411764705882355","67.82"
"-29.411764705882355","67.82"
"-29.411764705882355","67.82"
"-29.411764705882355","67.82"
"-29.411764705882355","67.82"
"-29.411764705882355","67.82"
"-29.411764705882355","67.82"
"-29.411764705882355","67.82"
"-29.411764705882355","67.82"
"-29.411764705882355","67.82"
"-29.411764705882355","67.82"
"-29.411764705882355","67.82"
"-29.411764705882355","67.82"
"-29.411764705882355","67.82"
"-29.411764705882355","67.82"
"-29.411764705882355","67.82"
"-29.411764705882355","67.82"
"-29.411764705882355","67.82"
"-29.411764705882355","67.82"
"-29.411764705882355","67.82"
"-29.411764705882355","67.82"
"-29.411764705882355","67.82"
"-29.411764705882355","67.82"
"-29.411764705882355","67.82"
"-29.411764705882355","67.82"
"-29.411764705882355","67.82"
"-29.411764705882355","67.82"
"-29.411764705882355","67.82"
"-29.411764705882355","67.82"
"-25.0","66.55"
"-25.0","66.55"
"-25.0","66.55"
"-25.0","66.55"
"-25.0","66.55"
"-25.0","66.55"
"-25.0","66.55"
"-25.0","66.55"
"-25.0","66.55"
"-25.0","66.55"
"-25.0","66.55"
"-25.0","66.55"
"-25.0","66.55"
"-25.0","66.55"
"-25.0","66.55"
"-25.0","66.55"
"-25.0","66.55"
"-25.0","66.55"
"-25.0","66.55"
"-25.0","66.55"
"-25.0","66.55"
"-25.0","66.55"
"-25.0","66.55"
"-25.0","66.55"
"-25.0","66.55"
"-25.0","66.55"
"-25.0","66.55"
"-25.0","66.55"
"-25.0","66.55"
"-25.0","66.55"
"-25.0","66.55"
"-25.0","66.55"
"-25.0","66.55"
"-25.0","66.55"
"-25.0","66.55"
"-25.0","66.55"
"-25.0","66.55"
"-25.0","66.55"
"-25.0","66.55"
"-25.0","66.55"
"-25.0","66.55"
"-25.0","66.55"
"-25.0","66.55"
"-25.0","66.55"
"-25.0","66.55"
"-25.0","66.55"
"-25.0","66.55"
"-25.0","66.55"
