"ActiveUsers__c","AccPercentage__c"
"-71.83098591549296","-29.411764705882355"
"-71.83098591549296","-29.411764705882355"
"-71.83098591549296","-29.411764705882355"
"-71.83098591549296","-29.411764705882355"
"-71.83098591549296","-29.411764705882355"
"-71.83098591549296","-29.411764705882355"
"-71.83098591549296","-29.411764705882355"
"-71.83098591549296","-29.411764705882355"
"-71.83098591549296","-29.411764705882355"
"-71.83098591549296","-29.411764705882355"
"-71.83098591549296","-29.411764705882355"
"-71.83098591549296","-29.411764705882355"
"-71.83098591549296","-29.411764705882355"
"-71.83098591549296","-29.411764705882355"
"-71.83098591549296","-29.411764705882355"
"-71.83098591549296","-29.411764705882355"
"-71.83098591549296","-29.411764705882355"
"-71.83098591549296","-29.411764705882355"
"-71.83098591549296","-29.411764705882355"
"-71.83098591549296","-29.411764705882355"
"-71.83098591549296","-29.411764705882355"
"-71.83098591549296","-29.411764705882355"
"-71.83098591549296","-29.411764705882355"
"-71.83098591549296","-29.411764705882355"
"-71.83098591549296","-29.411764705882355"
"-71.83098591549296","-29.411764705882355"
"-71.83098591549296","-29.411764705882355"
"-71.83098591549296","-29.411764705882355"
"-71.83098591549296","-29.411764705882355"
"-71.83098591549296","-29.411764705882355"
"-71.83098591549296","-29.411764705882355"
"-71.83098591549296","-29.411764705882355"
"-71.83098591549296","-29.411764705882355"
"-71.83098591549296","-29.411764705882355"
"-71.83098591549296","-29.411764705882355"
"-71.83098591549296","-29.411764705882355"
"-71.83098591549296","-29.411764705882355"
"-71.83098591549296","-29.411764705882355"
"-71.83098591549296","-29.411764705882355"
"-71.83098591549296","-29.411764705882355"
"-71.83098591549296","-29.411764705882355"
"-71.83098591549296","-29.411764705882355"
"-71.83098591549296","-29.411764705882355"
"-71.83098591549296","-29.411764705882355"
"-71.83098591549296","-29.411764705882355"
"-71.83098591549296","-29.411764705882355"
"-71.83098591549296","-29.411764705882355"
"-71.83098591549296","-29.411764705882355"
"-76.55334114888629","-25.0"
"-76.55334114888629","-25.0"
"-76.55334114888629","-25.0"
"-76.55334114888629","-25.0"
"-76.55334114888629","-25.0"
"-76.55334114888629","-25.0"
"-76.55334114888629","-25.0"
"-76.55334114888629","-25.0"
"-76.55334114888629","-25.0"
"-76.55334114888629","-25.0"
"-76.55334114888629","-25.0"
"-76.55334114888629","-25.0"
"-76.55334114888629","-25.0"
"-76.55334114888629","-25.0"
"-76.55334114888629","-25.0"
"-76.55334114888629","-25.0"
"-76.55334114888629","-25.0"
"-76.55334114888629","-25.0"
"-76.55334114888629","-25.0"
"-76.55334114888629","-25.0"
"-76.55334114888629","-25.0"
"-76.55334114888629","-25.0"
"-76.55334114888629","-25.0"
"-76.55334114888629","-25.0"
"-76.55334114888629","-25.0"
"-76.55334114888629","-25.0"
"-76.55334114888629","-25.0"
"-76.55334114888629","-25.0"
"-76.55334114888629","-25.0"
"-76.55334114888629","-25.0"
"-76.55334114888629","-25.0"
"-76.55334114888629","-25.0"
"-76.55334114888629","-25.0"
"-76.55334114888629","-25.0"
"-76.55334114888629","-25.0"
"-76.55334114888629","-25.0"
"-76.55334114888629","-25.0"
"-76.55334114888629","-25.0"
"-76.55334114888629","-25.0"
"-76.55334114888629","-25.0"
"-76.55334114888629","-25.0"
"-76.55334114888629","-25.0"
"-76.55334114888629","-25.0"
"-76.55334114888629","-25.0"
"-76.55334114888629","-25.0"
"-76.55334114888629","-25.0"
"-76.55334114888629","-25.0"
"-76.55334114888629","-25.0"
